"EventType","IPAddress","LogonType","TimeStamp","ProcessName","TargetAccount","CallingComputer"
"FailedLogin","-","Network","12/20/2024 4:53:47 PM","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","THTest","AR-WIN-DC"
"FailedLogin","-","Interactive","12/20/2024 4:53:46 PM","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","THTest","AR-WIN-DC"
"FailedLogin","-","Network","12/20/2024 4:53:45 PM","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","THTest","AR-WIN-DC"
"FailedLogin","-","Interactive","12/20/2024 4:53:44 PM","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","THTest","AR-WIN-DC"
"FailedLogin","-","Network","12/20/2024 4:53:42 PM","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","THTest","AR-WIN-DC"
"FailedLogin","-","Interactive","12/20/2024 4:53:41 PM","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","THTest","AR-WIN-DC"
"FailedLogin","-","Network","12/20/2024 4:53:40 PM","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","THTest","AR-WIN-DC"
"FailedLogin","-","Interactive","12/20/2024 4:53:39 PM","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","THTest","AR-WIN-DC"
"FailedLogin","-","Network","12/20/2024 4:53:37 PM","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","THTest","AR-WIN-DC"
"FailedLogin","-","Interactive","12/20/2024 4:53:36 PM","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","THTest","AR-WIN-DC"
"FailedLogin","-","Network","12/20/2024 4:53:35 PM","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","THTest","AR-WIN-DC"
"FailedLogin","-","Interactive","12/20/2024 4:53:34 PM","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","THTest","AR-WIN-DC"
"FailedLogin","-","Network","12/20/2024 4:53:32 PM","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","THTest","AR-WIN-DC"
"FailedLogin","-","Interactive","12/20/2024 4:53:31 PM","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","THTest","AR-WIN-DC"
"FailedLogin","-","Network","12/20/2024 4:53:30 PM","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","THTest","AR-WIN-DC"
"FailedLogin","-","Interactive","12/20/2024 4:53:29 PM","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","THTest","AR-WIN-DC"
"FailedLogin","-","Network","12/20/2024 4:53:27 PM","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","THTest","AR-WIN-DC"
"FailedLogin","-","Interactive","12/20/2024 4:53:26 PM","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","THTest","AR-WIN-DC"
