"ThreatType","TaskName","Computer","ThreatLevel","ThreatScore","Indicators","Evidence","Task_Action","Task_User","Task_State","Task_Description"
"Potential Hidden Scheduled Task","\System.__ComObject_LegitModified","Haager01","MEDIUM","75","Task enabled after creation; Task disabled after creation; Enable/disable toggle pattern detected; Task created but never properly deleted","Task created via standard Windows interface (schtasks/GUI); Task was enabled after creation (potential activation of dormant persistence); Task was disabled after creation (potential evasion technique); Task shows enable/disable toggle pattern (advanced evasion technique); Scheduled task was created but no corresponding deletion event found; ⚠️ WARNING: Process creation logging not available - cannot correlate task execution",,,,
"Direct Registry Task Creation","TestHiddenTask_1696373998","Haager01","HIGH","70","Direct registry manipulation; Bypassed Task Scheduler APIs","Task created entirely via direct registry manipulation; No corresponding Task Scheduler API calls detected",,,,
"Direct Registry Task Creation","TestHiddenTask_1696373998_Programmatic","Haager01","HIGH","70","Direct registry manipulation; Bypassed Task Scheduler APIs","Task created entirely via direct registry manipulation; No corresponding Task Scheduler API calls detected",,,,
"Direct Registry Task Creation","TestHiddenTask_1696373998_LegitModified","Haager01","HIGH","70","Direct registry manipulation; Bypassed Task Scheduler APIs","Task created entirely via direct registry manipulation; No corresponding Task Scheduler API calls detected",,,,
"Direct Registry Task Creation","TaskHunter_AutoCleanup_181441916","Haager01","HIGH","70","Direct registry manipulation; Bypassed Task Scheduler APIs","Task created entirely via direct registry manipulation; No corresponding Task Scheduler API calls detected",,,,
"Direct Registry Task Creation","TestHiddenTask_1696373998_LegitModified","Haager01","HIGH","70","Direct registry manipulation; Bypassed Task Scheduler APIs","Task created entirely via direct registry manipulation; No corresponding Task Scheduler API calls detected",,,,
"Potential Hidden Scheduled Task","\System.__ComObject_LegitModified","Haager01","LOW","55","Task enabled after creation; Task disabled after creation; Enable/disable toggle pattern detected","Task created via standard Windows interface (schtasks/GUI); Task was enabled after creation (potential activation of dormant persistence); Task was disabled after creation (potential evasion technique); Task shows enable/disable toggle pattern (advanced evasion technique); ⚠️ WARNING: Process creation logging not available - cannot correlate task execution",,,,
"Potential Hidden Scheduled Task","\System.__ComObject_LegitModified","Haager01","LOW","55","Task enabled after creation; Task disabled after creation; Enable/disable toggle pattern detected","Task created via standard Windows interface (schtasks/GUI); Task was enabled after creation (potential activation of dormant persistence); Task was disabled after creation (potential evasion technique); Task shows enable/disable toggle pattern (advanced evasion technique); ⚠️ WARNING: Process creation logging not available - cannot correlate task execution",,,,
"Potential Hidden Scheduled Task","\System.__ComObject_LegitModified","Haager01","LOW","55","Task enabled after creation; Task disabled after creation; Enable/disable toggle pattern detected","Task created via standard Windows interface (schtasks/GUI); Task was enabled after creation (potential activation of dormant persistence); Task was disabled after creation (potential evasion technique); Task shows enable/disable toggle pattern (advanced evasion technique); ⚠️ WARNING: Process creation logging not available - cannot correlate task execution",,,,
"Suspicious Task Modification","\Microsoft\Windows\Flighting\OneSettings\RefreshCache","Haager01","MEDIUM","40","Standalone task modification; Advanced persistence technique","Task modified without corresponding creation in analysis window; May indicate modification of existing legitimate task for persistence",,,,
